Day,daily_new_cases,daily_recovered_cases,new_deaths,infectious,cumulative_cases,cumulative_infectious,cumulative_recovered,cumulative_deaths,school_closures,workplace_closures,cancel_public_events,restriction_gatherings,stay_home_requirements,facial_coverings,public_information_campaigns,close_public_transport,restrictions_internal_movements,international_travel_controls,testing_policy,contact_tracing,vaccination_policy,childhood_vaccine_availability,vaccine_eligibility_age,income_support,debt_relief,vaccine_eligibility_age_categorical
2020-03-03,3,0,0,24,24,24,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,nil,0,0,0
2020-03-04,0,0,0,24,24,48,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,0,0
2020-03-05,9,0,0,33,33,81,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,0,0
2020-03-06,4,0,0,37,37,118,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,0,0
2020-03-07,4,0,0,41,41,159,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,0,0
2020-03-08,9,0,0,50,50,209,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,1,0
2020-03-09,4,0,0,54,54,263,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,1,0
2020-03-10,33,0,0,87,87,350,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,1,0
2020-03-11,18,0,0,105,105,455,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,nil,0,1,0
2020-03-12,23,0,0,128,128,583,0,0,0,0,2,3,0,0,2,0,0,4,1,1,0,0,nil,0,1,0
2020-03-13,35,1,0,162,163,745,1,0,3,0,2,3,0,0,2,0,0,4,1,1,0,0,nil,0,1,0
2020-03-14,29,0,0,191,192,936,1,0,3,0,2,3,0,0,2,0,0,4,1,1,0,0,nil,0,1,0
2020-03-15,40,0,0,231,232,1167,1,0,3,2,2,4,0,0,2,0,0,4,1,1,0,0,nil,0,1,0
2020-03-16,73,0,0,304,305,1471,1,0,3,2,2,4,0,0,2,1,0,4,1,1,0,0,nil,0,2,0
2020-03-17,94,2,0,396,399,1867,3,0,3,2,2,4,1,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-18,125,2,0,519,524,2386,5,0,3,2,2,4,1,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-19,135,4,0,650,659,3036,9,0,3,2,2,4,1,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-20,168,1,1,817,827,3853,10,1,3,2,2,4,2,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-21,209,0,0,1026,1036,4879,10,1,3,2,2,4,2,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-22,252,5,0,1273,1288,6152,15,1,3,2,2,4,2,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-23,349,5,0,1617,1637,7769,20,1,3,2,2,4,2,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-24,418,5,3,2030,2055,9799,25,4,3,2,2,4,2,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-25,423,6,1,2447,2478,12246,31,5,3,2,2,4,2,0,2,1,1,4,1,2,0,0,nil,0,2,0
2020-03-26,519,9,5,2957,2997,15203,40,10,3,2,2,4,2,0,2,1,1,4,1,2,0,0,nil,0,2,0
